Date,USD/BRL,USD/RUB,USD/INR,USD/CNY,USD/ZAR,USD/XAU,USD/OIL
2010-01-01,,29.99519920349121,46.61000061035156,,7.340199947357178,,
2010-01-04,1.718999981880188,30.31399917602539,46.28799819946289,6.81689977645874,7.264900207519531,1117.699951171875,81.51000213623047
2010-01-05,1.7369999885559082,29.99519920349121,46.119998931884766,6.816999912261963,7.3018999099731445,1118.0999755859375,81.7699966430664
2010-01-06,1.7315000295639038,29.99519920349121,45.720001220703125,6.818299770355225,7.302199840545654,1135.9000244140625,83.18000030517578
2010-01-07,1.7388999462127686,29.99519920349121,45.6879997253418,6.817800045013428,7.424099922180176,1133.0999755859375,82.66000366210938
2010-01-08,1.7319999933242798,29.865999221801758,45.518001556396484,6.817500114440918,7.341800212860107,1138.199951171875,82.75
2010-01-11,1.7309999465942383,29.31369972229004,45.358001708984375,6.816500186920166,7.355299949645996,1150.699951171875,82.5199966430664
2010-01-12,1.7373000383377075,29.55970001220703,45.61800003051758,6.8165998458862305,7.412799835205078,1128.9000244140625,80.79000091552734
2010-01-13,1.74590003490448,29.543500900268555,45.487998962402344,6.816800117492676,7.368100166320801,1136.4000244140625,79.6500015258789
2010-01-14,1.7640999555587769,29.434999465942383,45.5629997253418,6.816999912261963,7.360000133514404,1142.5999755859375,79.38999938964844
2010-01-15,1.7644000053405762,29.545900344848633,45.803001403808594,6.816999912261963,7.378300189971924,1130.0999755859375,78.0
2010-01-18,1.7632999420166016,29.590999603271484,45.63800048828125,6.816800117492676,7.384300231933594,,
2010-01-19,1.7741999626159668,29.58799934387207,45.847999572753906,6.816800117492676,7.393700122833252,1139.699951171875,79.0199966430664
2010-01-20,1.7894999980926514,29.752300262451172,46.11800003051758,6.817299842834473,7.518400192260742,1112.300048828125,77.62000274658203
2010-01-21,1.8007999658584595,29.703899383544922,46.108001708984375,6.817699909210205,7.539999961853027,1102.699951171875,76.08000183105469
2010-01-22,1.8187999725341797,29.770099639892578,46.222999572753906,6.816999912261963,7.630799770355225,1089.199951171875,74.54000091552734
2010-01-25,1.7834999561309814,30.10409927368164,46.077999114990234,6.81689977645874,7.542900085449219,1095.199951171875,75.26000213623047
2010-01-26,1.8336000442504883,30.326000213623047,45.847999572753906,6.8165998458862305,7.541999816894531,1097.9000244140625,74.70999908447266
2010-01-27,1.8495999574661255,30.316999435424805,46.31800079345703,6.816999912261963,7.572199821472168,1084.4000244140625,73.66999816894531
2010-01-28,1.8680000305175781,30.35300064086914,46.347999572753906,6.81689977645874,7.590000152587891,1083.5999755859375,73.63999938964844
2010-01-29,1.8729000091552734,30.349599838256836,46.097999572753906,6.81689977645874,7.617000102996826,1083.0,72.88999938964844
2010-02-01,1.8624000549316406,30.28499984741211,46.28799819946289,6.816999912261963,7.4928998947143555,1104.300048828125,74.43000030517578
2010-02-02,1.830399990081787,30.065000534057617,46.099998474121094,6.815000057220459,7.4664998054504395,1117.4000244140625,77.2300033569336
2010-02-03,1.850000023841858,29.993999481201172,45.900001525878906,6.81689977645874,7.520699977874756,1111.4000244140625,76.9800033569336
2010-02-04,1.8803999423980713,30.165000915527344,46.209999084472656,6.81689977645874,7.673799991607666,1062.4000244140625,73.13999938964844
2010-02-05,1.882699966430664,30.11079978942871,46.619998931884766,6.81850004196167,7.763599872589111,1052.199951171875,71.19000244140625
2010-02-08,1.871500015258789,30.530000686645508,46.709999084472656,6.816999912261963,7.719900131225586,1065.699951171875,71.88999938964844
2010-02-09,1.843000054359436,30.327699661254883,46.38999938964844,6.8165998458862305,7.670000076293945,1076.699951171875,73.75
2010-02-10,1.850600004196167,30.29680061340332,46.37799835205078,6.818999767303467,7.711249828338623,1075.800048828125,74.5199966430664
2010-02-11,1.8515000343322754,30.13159942626953,46.400001525878906,6.823800086975098,7.633600234985352,1094.199951171875,75.27999877929688
2010-02-12,1.8585000038146973,30.198999404907227,46.400001525878906,6.823500156402588,7.678100109100342,1089.5,74.12999725341797
2010-02-15,1.8514000177383423,30.219600677490234,46.3380012512207,6.823400020599365,7.703999996185303,,
2010-02-16,1.8424999713897705,29.991500854492188,45.97999954223633,6.823400020599365,7.650899887084961,1119.300048828125,77.01000213623047
2010-02-17,1.8329999446868896,30.116100311279297,46.007999420166016,6.823400020599365,7.613500118255615,1119.5,77.33000183105469
2010-02-18,1.819000005722046,30.025999069213867,46.13999938964844,6.823400020599365,7.673399925231934,1118.0,79.05999755859375
2010-02-19,1.8035000562667847,29.965700149536133,46.18000030517578,6.8190999031066895,7.640900135040283,1121.300048828125,79.80999755859375
2010-02-22,1.8079999685287476,29.975500106811523,46.099998474121094,6.81790018081665,7.70419979095459,1112.5999755859375,80.16000366210938
2010-02-23,1.819599986076355,29.98699951171875,46.268001556396484,6.81820011138916,7.775000095367432,1102.699951171875,78.86000061035156
2010-02-24,1.818600058555603,29.99920082092285,46.28799819946289,6.816999912261963,7.729499816894531,1096.5,80.0
2010-02-25,1.8359999656677246,30.003000259399414,46.29999923706055,6.81689977645874,7.7322998046875,1107.800048828125,78.16999816894531
2010-02-26,1.805999994277954,29.92449951171875,45.900001525878906,6.816699981689453,7.715400218963623,1118.300048828125,79.66000366210938
2010-03-01,1.7979999780654907,29.950300216674805,46.0,6.816400051116943,7.629199981689453,1117.800048828125,78.69999694824219
2010-03-02,1.7324999570846558,29.975000381469727,46.02799987792969,6.817500114440918,7.595300197601318,1136.9000244140625,79.68000030517578
2010-03-03,1.7879999876022339,29.760000228881836,45.54999923706055,6.815899848937988,7.477399826049805,1142.699951171875,80.87000274658203
